hostname,ip,sshPortOpen,ftpPortOpen,smtpPortOpen,httpPortOpen,sqlPortOpen,hasAdminRights,cpuCores,isConnectedTo,ramUsed,maxRam,organizationName,purchasedByPlayer,backdoorInstalled,baseDifficulty,hackDifficulty,minDifficulty,moneyAvailable,moneyMax,numOpenPortsRequired,openPortCount,requiredHackingSkill,serverGrowth,
hacknet-server-12,165.215.211.68,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-13,134.20.105.218,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-14,66.128.160.92,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
hacknet-server-15,214.238.0.247,false,false,false,false,false,true,30,false,0,8192,,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
zer0,232.191.197.35,true,true,true,true,true,true,2,false,31.5,32,ZER0 Nightclub,false,true,37.5,16.884,13,97049090.68046318,150000000,1,5,75,40,
max-hardware,238.243.114.242,true,true,true,true,true,true,2,false,31.5,32,Max Hardware Store,false,true,22.5,8.225999999999997,8,24887637.935680687,200000000,1,5,80,30,
nectar-net,81.149.143.46,true,true,true,true,true,true,2,false,15.75,16,Nectar Nightclub Network,false,true,30,10.014,10,44066897.6437823,55000000,0,5,20,25,
CSEC,222.248.220.209,true,true,true,true,true,true,2,false,7,8,CyberSec,false,true,1,1,1,0,0,1,5,53,1,
phantasy,141.33.44.182,true,true,true,true,true,true,2,false,31.5,32,Phantasy Club,false,true,30,12.535999999999994,10,363290519.46787626,480000000,2,5,100,35,
silver-helix,112.64.101.34,true,true,true,true,true,true,2,false,33.25,64,Silver Helix,false,true,45,19.97474999999999,15,536191073.5861971,900000000,2,5,150,30,
omega-net,133.71.193.7,true,true,true,true,true,true,3,false,31.5,32,Omega Software,false,true,51,17.988000000000014,17,853380440.6784126,1201669260,2,5,218,35,
neo-net,54.242.99.98,true,true,true,true,true,true,2,false,31.5,32,Neo Nightclub Network,false,true,37.5,16.20400000000001,13,21930320.363760497,100000000,1,5,50,25,
computek,0.250.87.141,true,true,true,true,true,true,4,false,0,0,CompuTek,false,true,93,33.29199999999999,31,3366.641524115983,4889610020,3,5,345,63,
avmnite-02h,219.241.226.112,true,true,true,true,true,true,2,false,63,64,NiteSec,false,true,1,1,1,0,0,2,5,212,1,
the-hub,196.164.179.20,true,true,true,true,true,true,4,false,7,8,The Hub,false,true,61.5,23.991999999999987,21,1372700.3685050947,3578165500,2,5,306,52,
crush-fitness,253.206.85.87,true,true,true,true,true,true,4,false,0,0,Crush Fitness,false,true,60,21.394000000000112,20,533390075.92625743,843230400,2,5,235,33,
netlink,153.164.153.56,true,true,true,true,true,true,3,false,31.5,32,NetLink Technologies,false,true,100,38.83799999999998,34,627.8193728195191,5500000000,3,5,406,53,
johnson-ortho,72.160.239.220,true,true,true,true,true,true,3,false,0,0,Johnson Orthopedics,false,true,70.5,24.270000000000007,24,1102936433.0831652,1444800140,2,5,257,44,
summit-uni,207.13.18.81,true,true,true,true,true,true,4,false,15.75,16,Summit University,false,true,72,28.753500000000003,24,3564.953471137993,5874471540,3,5,436,47,
I.I.I.I,64.225.16.113,true,true,true,true,true,true,3,false,127.75,128,I.I.I.I,false,true,1,1,1,0,0,3,5,340,1,
rothman-uni,191.84.61.104,true,true,true,true,true,true,4,false,31.5,32,Rothman University,false,true,82.5,29.74600000000001,28,2355477281.809728,4047421300,3,5,416,43,
zb-institute,11.249.156.213,true,true,true,true,true,true,3,false,15.75,16,ZB Institute of Technology,false,true,99,37.65799999999999,33,6583879.7792952815,18502954120,5,5,741,78,
catalyst,106.210.69.106,true,true,true,true,true,true,5,false,127.75,128,Catalyst Ventures,false,true,100,34.632,34,593043795.9221762,10401196840,3,5,411,35,
syscore,153.235.62.73,true,true,true,true,true,true,5,false,0,0,SysCore Securities,false,true,99,36.460000000000015,33,29290.942488160425,10799890520,4,5,596,70,
aevum-police,225.5.154.27,true,true,true,true,true,true,3,false,31.5,32,Aevum Police Headquarters,false,true,100,42.28000000000001,40,377.6658003784228,4564318240,4,5,429,32,
lexo-corp,245.33.62.231,true,true,true,true,true,true,5,false,22.75,64,LexoCorp,false,true,100,38.55599999999998,34,545425.4898881745,14566907840,4,5,654,62,
millenium-fitness,252.181.161.207,true,true,true,true,true,true,4,false,63.6,64,Millenium Fitness Network,false,true,70.5,26.759999999999987,24,1974775873.5264866,5000000000,3,5,503,29,
alpha-ent,213.33.97.248,true,true,true,true,true,true,5,false,63,64,Alpha Enterprises,false,true,82.5,32.942,28,68212.97518517335,12337967140,4,5,522,59,
rho-construction,232.210.222.42,true,true,true,true,true,true,4,false,0,64,Rho Construction,false,true,72,28.818000000000012,24,253988.35106096332,11252374460,3,5,481,49,
snap-fitness,30.87.89.132,true,true,true,true,true,true,4,false,0,0,Snap Fitness,false,true,63,24.289999999999985,21,488710.6625101928,9000000000,4,5,761,60,
galactic-cyber,143.98.7.223,true,true,true,true,true,true,7,false,0,0,Galactic Cybersystems,false,true,87,32.73199999999999,29,19786626.40738283,15723125820,5,5,851,89,
aerocorp,76.172.151.128,true,true,true,true,true,true,7,false,0,0,AeroCorp,false,true,100,45.27599999999999,40,375069.18476180517,21132083160,5,5,921,56,
global-pharm,45.176.79.22,true,true,true,true,true,true,7,false,31.5,32,Global Pharmaceuticals,false,true,100,45.43000000000003,38,33196094740,33196094740,4,5,801,90,
omnia,125.249.11.198,true,true,true,true,true,true,4,false,15.75,16,Omnia Cybersystems,false,true,100,48.514,46,316.69910147498643,18350309780,5,5,893,60,
deltaone,147.125.217.96,true,true,true,true,true,true,6,false,0,0,DeltaOne,false,true,100,40.034,40,20352759630.933735,28224062260,5,5,869,68,
unitalife,139.144.11.161,true,true,true,true,true,true,5,false,15.75,16,UnitaLife Group,false,true,100,38,38,61400.34096738795,20737516860,4,5,814,79,
defcomm,187.67.69.43,true,true,true,true,true,true,8,false,0,0,DefComm,false,true,100,45.43799999999998,42,100510.72138665109,16519825020,5,5,917,61,
icarus,191.177.184.62,true,true,true,true,true,true,5,false,0,0,Icarus Microsystems,false,true,100,50.224000000000025,48,527.3000124656339,19565258640,5,5,852,90,
zeus-med,173.249.185.101,true,true,true,true,true,true,5,false,0,0,Zeus Medical,false,true,100,48.64825,45,29539041080,29539041080,5,5,832,76,
univ-energy,39.150.252.252,true,true,true,true,true,true,7,false,63,64,Universal Energy,false,true,100,54.16600000000002,45,7824043.320175036,23408225200,4,5,853,90,
solaris,192.230.212.52,true,true,true,true,true,true,8,false,31.5,64,Solaris Space Systems,false,true,100,40.51599999999998,37,243721.6182432583,15639577400,5,5,841,79,
nova-med,175.179.11.133,true,true,true,true,true,true,5,false,0,0,Nova Medical,false,true,100,36,36,49147.65761755621,23503368960,4,5,795,68,
infocomm,104.53.194.148,true,true,true,true,true,true,6,false,0,0,InfoComm,false,true,100,43.774,40,14247.37696763531,12886570160,5,5,935,52,
zb-def,204.146.69.151,true,true,true,true,true,true,6,false,0,0,ZB Defense Industries,false,true,82.5,34.466,28,452954146.8216931,19913657720,4,5,809,73,
taiyang-digital,214.210.173.18,true,true,true,true,true,true,7,false,0,0,Taiyang Digital,false,true,100,40.35600000000004,36,894.6288496291199,16835376720,5,5,920,79,
titan-labs,32.112.204.245,true,true,true,true,true,true,6,false,15.75,16,Titan Laboratories,false,true,100,39.435999999999986,35,320336.1418741233,17705916520,5,5,825,61,
microdyne,79.155.145.131,true,true,true,true,true,true,7,false,31.5,32,Microdyne Technologies,false,true,100,41.59199999999999,37,105628.38183165631,13453549620,5,5,840,85,
run4theh111z,95.26.25.191,true,true,true,true,true,true,8,false,232,256,The Runners,false,true,1,1,1,0,0,4,5,511,1,
applied-energetics,157.70.159.185,true,true,true,true,true,true,10,false,0,0,Applied Energetics,false,true,96,37.05999999999999,32,219787.50717756283,14695369100,4,5,775,70,
fulcrumtech,81.26.199.180,true,true,true,true,true,true,11,false,2016.95,2048,Fulcrum Technologies,false,true,100,50.79375000000002,42,656130042.8389478,33633339440,5,5,1140,86,
stormtech,83.56.115.198,true,true,true,true,true,true,11,false,0,0,Storm Technologies,false,true,100,48.778000000000006,44,4502951.883207925,23273869780,5,5,955,76,
helios,83.119.241.54,true,true,true,true,true,true,7,false,31.5,32,Helios Labs,false,true,100,50.106,45,40385.16261306547,14091275500,5,5,872,71,
vitalife,13.163.178.21,true,true,true,true,true,true,7,false,38.5,64,VitaLife,false,true,100,43.834000000000024,40,196.64171447592975,14044674240,5,5,885,68,
4sigma,175.205.60.43,true,true,true,true,true,true,12,false,0,0,Four Sigma,false,true,99,33,33,0,471450569740,5,5,953,96,
kuai-gong,138.32.15.41,true,true,true,true,true,true,9,false,0,0,KuaiGong International,false,true,100,62.737999999999985,50,417969856380,417969856380,5,5,1272,98,
.,71.160.35.233,true,true,true,true,true,true,7,false,15.75,16,.,false,true,1,1,1,0,0,4,5,535,1,
omnitek,63.202.112.61,true,true,true,true,true,true,8,false,255.5,256,OmniTek Incorporated,false,true,100,57.37600000000001,48,344153442240,344153442240,5,5,925,98,
b-and-a,224.119.39.11,true,true,true,true,true,true,14,false,0,0,Bachman & Associates,false,true,100,50.43199999999997,40,370505596980,370505596980,5,5,1121,77,
nwo,10.166.0.94,true,true,true,true,true,true,14,false,0,0,NWO,false,true,100,69.91799999999999,50,443144.163178504,599664994200,5,5,952,93,
blade,117.117.111.211,true,true,true,true,true,true,14,false,28,64,Blade Industries,false,true,100,62.55200000000008,45,525736246800,525736246800,5,5,1095,78,
clarkinc,138.192.134.153,true,true,true,true,true,true,12,false,0,0,Clarke Incorporated,false,true,96,32.136,32,0,447812595460,5,5,1139,46,
powerhouse-fitness,122.65.77.125,true,true,true,true,true,true,10,false,63,64,Powerhouse Fitness,false,true,90,30,30,10044.497831774628,18000000000,5,5,954,56,
megacorp,14.221.65.43,true,true,true,true,true,true,8,false,0,0,MegaCorp,false,true,100,58.54000000000001,22.285020197547535,7656100568561.065,7965407031530.933,5,5,1251,99,
The-Cave,148.108.196.3,true,true,true,true,true,true,9,false,0,0,Helios,false,true,1,1,1,0,0,5,5,925,1,
ecorp,76.71.144.28,true,true,true,true,true,true,12,false,0,0,ECorp,false,true,100,18.20848400435584,18.20848400435584,946587469140,10302931983508.027,5,5,1369,99,
fulcrumassets,157.242.179.194,true,true,true,true,true,true,13,false,0,0,Fulcrum Technologies,false,true,100,100,50,6915078.74721176,20000000,5,5,1215,1,
